model,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,test_MAE,test_RMSE,test_R2,type,base_models,meta_model,best_alpha
ET,3.913006989771081,0.8852500328600328,5.24435430275097,1.0878393309172616,0.9256277658491909,0.06079487009743598,3.7205111268695976,5.926829892807733,0.9265600798159057,base,,,
GB,4.312584649548105,0.964278349654305,5.826305636407211,1.379890748199501,0.8999396037267288,0.10092931128772382,4.223112726370378,6.171011918972198,0.9203840573732445,base,,,
XGB,4.018833622233072,0.8783790896963981,5.568667122223571,1.081992822627486,0.9141233827514121,0.07697400813528066,3.9300166010856628,5.697239163448527,0.9321396378609356,base,,,
HM1_ET_GB,,,,,,,3.4632262526424,5.46335441114466,0.9375969208357237,,"ET, GB",RidgeCV,10.0
HM2_ET_XGB,,,,,,,3.486960728546222,5.383831275742829,0.9394003448170021,,"ET, XGB",RidgeCV,10.0
HM3_GB_XGB,,,,,,,3.549488234644932,5.588385490210768,0.9347079982406878,,"GB, XGB",RidgeCV,10.0
HM4_ET_GB_XGB,,,,,,,3.4708783218225285,5.43239533345609,0.9383021534761792,,"ET, GB, XGB",RidgeCV,10.0
